query_en,query_zh,has_ai_overview,all_items,cited_sources,all_references,related_searches
hantavirus update,汉坦病毒最新消息,False,,,,"['我国已有1例汉坦病毒感染者', '2026年汉坦病毒中国有几例', '武汉发现59例', '郑州已发现63例本土感染者', '汉坦病毒最新11例', '2026年将爆发8次瘟疫', '汉坦病毒最新进展情况', '疫情最新消息今天', '中国汉坦病毒有多少例', '法国已确认22例汉坦病毒病例']"
covid symptoms,新冠症状,True,"['\u200c发热\u200c：体温常超过 37.3 摄氏度，多是中低度热，部分能到 39 摄氏度以上，伴有怕冷或肌肉酸痛 。', '\u200c干咳\u200c：就是无痰或少痰的刺激性咳嗽，晚上或躺下时可能更厉害，影响睡觉 。', '\u200c乏力\u200c：觉得特别累、没精神，就算好好休息也难缓过来，严重时干活走路都费劲 。\u200c\u200c\u200c', '\u200c嗅觉味觉异常\u200c：有的人闻不到味儿或尝不出咸淡，奥密克戎感染时挺常见，大多数能恢复 。', '\u200c消化道症状\u200c：少数人会拉肚子、恶心、呕吐或肚子疼，可能单独出现也可能跟别的症状一起 。', '\u200c上呼吸道不适\u200c：包括鼻子堵、流鼻涕、嗓子疼、头疼等，跟普通感冒差不多 。\u200c\u200c1百科\u200c', '\u200c呼吸困难\u200c：觉得气不够用、喘气费劲，或者不动也觉得憋气，说明肺部可能有问题 。', '\u200c持续高烧\u200c：体温一直超过 38.5 摄氏度，吃退热药也不退，人特别难受 。', '\u200c高危人群加重\u200c：老人或有老毛病的人出现糊涂、原来病情变重、嘴唇发紫等情况 。\u200c\u200c\u200c']","[{'title': '冠状病毒感染', 'link': 'http://baike.baidu.com/item/%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93/11056098', 'source': '百度百科'}]","[{'title': '冠状病毒感染', 'link': 'http://baike.baidu.com/item/%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93/11056098', 'source': '百度百科'}, {'title': '别把三阳只当感冒!病毒变聪明后正在悄悄透支你的身体,家中没备好这几样东西才是真正的致命误区', 'link': 'https://baijiahao.baidu.com/s?id=1865267201218047180&wfr=spider&for=pc', 'source': '吴海涛医生'}, {'title': '新冠的症状有哪些', 'link': 'https://www.bohe.cn/article/view/3r66polskt11z3l.html', 'source': '陶新曹'}, {'title': '新型冠状病毒感染的肺炎症状', 'link': 'https://www.bohe.cn/article/view/7sj1ve71ykmg7oy.html', 'source': '博禾医生'}, {'title': '得新冠有哪些症状', 'link': 'https://www.bohe.cn/article/view/6d0l10rwk5wiktk.html', 'source': '王得翔'}, {'title': '新冠都有什么症状', 'link': 'https://www.bohe.cn/article/view/ssfnmlxddkm5451.html', 'source': '博禾医生'}, {'title': '新冠有哪6大症状', 'link': 'https://www.bohe.cn/article/view/8o9q6yv2kn92d4l.html', 'source': '马晓斌'}, {'title': '新型冠状肺炎症状', 'link': 'https://www.bohe.cn/article/view/ebcgqgskuk5xbjy.html', 'source': '博禾医生'}, {'title': '新冠肺炎疫情症状有哪些 - 专家文章 - 博禾医生', 'link': 'https://m.bohe.cn/article/toutiao/235990.html', 'source': '博禾医生'}, {'title': '新冠症状主要表现有哪些', 'link': 'https://www.bohe.cn/article/view/ig7nt89nskbefiu.html', 'source': '博禾医生'}, {'title': '新冠病毒的症状是什么表现', 'link': 'https://m.bohe.cn/article/liangyi/235625.html', 'source': '博禾医生'}]","['2026阳了最明显的症状', '清除体内病毒的好办法', '新冠和甲流的区别', '新冠1-7天症状对照表', '新冠一般几天自愈', '新冠症状2026', '2026年甲流最新症状', '冠心病的症状表现有哪些', '新冠不吃药能自愈吗', '2026新冠又开始了吗现在']"
long covid symptoms,新冠后遗症症状,True,"['\u200c全身性症状\u200c', '\u200c呼吸系统症状\u200c', '\u200c神经与认知症状\u200c', '\u200c心血管与循环问题\u200c', '\u200c其他症状\u200c', '\u200c高危人群\u200c：女性、中青年、有基础疾病（如糖尿病、哮喘）或急性期症状严重者更易出现后遗症。', '\u200c持续时间\u200c：多数在3-6个月内逐渐缓解，少数可能持续1年以上。', '\u200c器官损伤\u200c：极少数重症患者可能出现肺纤维化、心肌损伤等器质性病变。', '\u200c医学评估\u200c：若症状持续或加重，需排查其他疾病（如甲状腺功能异常、贫血）。', '\u200c对症治疗\u200c：', '\u200c生活方式调整\u200c：', '\u200c疫苗接种\u200c：可降低后遗症发生风险。', '\u200c急性期管理\u200c：感染后充分休息，避免过早剧烈活动。', '\u200c定期随访\u200c：长期症状需多学科协作治疗（如呼吸科、心内科、康复科）。']",[],[],"['120万一针能多活多久', '新冠后遗症', '科兴3年后身体变化', '新冠痊愈后对人的影响', '打了新冠三年后出现后遗症', '新冠综合症症状表现', '新冠后遗症的缓解方法', '女人新冠十大后遗症如何改善', '长期新冠综合症', '新冠后遗症是什么症状表现']"
what is long covid,什么是新冠后遗症,True,"['\u200c全身症状\u200c： 长期疲劳、肌肉酸痛、低热等是典型表现，部分患者可能因轻微活动加重症状。', '\u200c呼吸系统\u200c： 咳嗽、胸闷、肺功能下降较常见，重症康复者可能出现肺纤维化。', '\u200c神经系统\u200c： “脑雾”（注意力不集中、记忆力减退）、头痛、嗅觉/味觉异常等，可能与病毒直接损伤或免疫反应有关。', '\u200c心血管系统\u200c： 心悸、胸痛、体位性心动过速（站起后心跳过快），少数可能出现心肌炎。', '\u200c心理影响\u200c： 焦虑、抑郁、睡眠障碍可能因疾病本身或长期隔离导致。', '\u200c潜在机制\u200c： 病毒残留、免疫系统过度反应、器官微损伤、凝血异常等均可能参与其中。', '\u200c高风险人群\u200c：', '\u200c医学评估\u200c： 建议通过血常规、肺功能、心脏检查等排除器质性病变，避免误诊。', '\u200c康复训练\u200c：', '\u200c对症治疗\u200c： 疼痛可用非处方止痛药，严重疲劳需调整作息，心理问题需专业干预。', '\u200c生活方式调整\u200c： 均衡饮食、充足睡眠、避免烟酒有助于恢复。', '\u200c及时就医\u200c： 若出现胸痛、呼吸困难加重、意识模糊等，需立即就诊。', '\u200c避免过度焦虑\u200c： 多数后遗症在3-6个月内改善，保持积极心态有助于康复。', '\u200c预防措施\u200c： 接种疫苗、感染后充分休息、早期抗病毒治疗可降低后遗症风险。']",[],[],"['替来他明多久能排干净', '120万一针能多活多久', '科兴3年后身体变化', '三针科兴的寿命有几年', '女人新冠十大后遗症如何改善', '打了新冠三年后出现后遗症', '新冠后遗症包括哪些方面', '心冠病毒后遗症', '新冠病毒的后遗症', '新冠引起的后遗症有哪些']"
how long does covid last,新冠持续多久,False,,,,"['2019–2022疫情时间线', '新冠疫情持续了多长时间', '新冠持续了几年', '新冠周期持续多久', '三年疫情是哪三年', '新冠症状一般持续多久', '新冠病毒持续多久结束', '新冠肺炎疫情持续了多久', '新冠多长时间了', '新冠后乏力会持续多久']"
long term covid,长期新冠,True,"['\u200c全身性症状\u200c：最典型的是极度疲劳，休息后也难以缓解，部分患者还会持续发热或出现体力劳动后症状加重 。', '\u200c呼吸系统症状\u200c：包括呼吸短促、持续咳嗽、咽喉疼痛等，部分重症康复者日常活动能力会受限 。', '\u200c神经与精神症状\u200c：常见“脑雾”（记忆力减退、注意力不集中）、头痛、睡眠障碍、焦虑或抑郁，嗅觉和味觉丧失也是典型特征 。', '\u200c其他系统影响\u200c：可能涉及心血管（心悸、胸痛）、消化系统（恶心、腹泻）、肌肉关节疼痛以及皮肤问题等 。\u200c\u200c\u200c', '\u200c特定感染经历者\u200c：感染原始毒株的人群风险远高于后续变异株感染者；急性期症状严重或曾住院的患者，后期出现长新冠的概率更高 。', '\u200c基础健康状态\u200c：患有糖尿病、高血压、自身免疫性疾病的人群，以及老年人、免疫力低下者，身体清除病毒残留能力较弱，症状易迁延不愈 。', '\u200c职业与性别因素\u200c：一线医护人员因职业暴露频繁、工作强度大，患病率显著偏高；数据显示女性感染者发展为长新冠的比例高于男性 。', '\u200c重复感染者\u200c：多次重复感染新冠病毒会增加免疫系统负担，提升长期症状发生的风险 。\u200c\u200c\u200c', '\u200c抗炎饮食调整\u200c：建议将“抗炎饮食”变成生活习惯，多吃全谷物、蔬菜水果（占食物重量 2/3），补充膳食纤维、ω-3 脂肪酸及维生素，有助于降低炎症因子水平 。\u200c\u200c\u200c', '\u200c针对性症状管理\u200c：', '\u200c心理与睡眠调节\u200c：建立良好睡眠环境，睡前减少电子设备使用，通过冥想、瑜伽等方式放松，必要时寻求医生帮助进行药物干预 。\u200c\u200c\u200c\u200c']",[],"[{'title': '对于“新冠长期症状”,我们需要知道什么?', 'link': 'http://www.301hn.cn/info/1017/1010.htm', 'source': '中国人民解放军总医院海南医院'}, {'title': '长新冠', 'link': 'https://baike.baidu.com/item/长新冠/63208249', 'source': '百度百科'}, {'title': '长期新冠', 'link': 'https://baike.baidu.com/item/长期新冠/61376360', 'source': '百度百科'}, {'title': '科普:“长新冠” 知多少', 'link': 'https://baijiahao.baidu.com/s?id=1750460765175536696&wfr=spider&for=pc', 'source': '新华社'}, {'title': '长新冠的概念', 'link': 'https://m.youlai.cn/yyk/article/844936.html', 'source': '唐勇军'}, {'title': '长新冠后遗症16种症状', 'link': 'https://health.baidu.com/m/detail/ar_7048516080765447445', 'source': '郭兮恒'}, {'title': '美国研究首次系统性定义“长新冠” 12种“后遗症”症状列入', 'link': 'https://news.cnr.cn/native/gd/20230527/t20230527_526266216.shtml', 'source': '央广网·新闻'}, {'title': '2026年最新研究揭秘:新冠多年后,这些症状或“伴随终身”!6类人极难摆脱长新冠!', 'link': 'https://baijiahao.baidu.com/s?id=1863174840593787987&wfr=spider&for=pc', 'source': '凤凰大健康'}, {'title': '综述|长新冠的发生机制', 'link': 'https://www.zryhyy.com.cn/gjhxzx/c104809/202404/458229a5f406469e84dc4745a49bb2a4.shtml', 'source': '中日友好医院'}, {'title': '陈根:为什么体检查不出新冠后遗症?新冠后遗症真的存在吗?', 'link': 'https://www.163.com/dy/article/KS0E41B30553JKBK.html', 'source': '陈根谈科技'}, {'title': '新冠长期症状怎么缓解', 'link': 'http://ynswsjkw.yn.gov.cn/html/2023/fangyixuzhi_0208/16152.html', 'source': '云南省卫健委'}]","['长期新冠(LongCOVID)', '长期新冠综合症', '长期新冠的临床表现', '新冠会长期在人体内吗', '长新冠潜伏期是多久', '长期新冠的治疗方法', '新冠一直治不好几个月了', '新冠还能持续多久', '新冠一年会复发吗', '长新冠是什么疾病']"
how long was covid,新冠流行多久了,False,,,,"['新冠疫情持续了多久', '新冠大流行时间', '新冠流行大概还要几年', '新冠又流行了吗现在', '新冠几年前就有了', '新冠是不是又开始大流行了', '新冠大流行什么时候结束', '新冠还在流行吗?', '新冠多少年消失', '新冠多久开始的']"
symptoms of covid,新冠肺炎症状,True,"['\u200c核心三件套\u200c：大多数患者会出现\u200c发热\u200c（体温常超 37.3℃）、\u200c干咳\u200c（无痰或少痰）和\u200c乏力\u200c（全身疲倦、精神不振），部分人伴有畏寒或肌肉酸痛。', '\u200c特征性表现\u200c：部分感染者会突然出现\u200c嗅觉或味觉减退\u200c甚至丧失，这是新冠病毒感染较特有的信号，通常在发病 1 周内出现。', '\u200c类似感冒症状\u200c：不少人还会感到\u200c咽痛\u200c、\u200c鼻塞流涕\u200c、头痛，奥密克戎变异株感染时这类上呼吸道症状更为常见。', '\u200c其他身体反应\u200c：少数患者可能出现\u200c消化道不适\u200c（如腹泻、恶心、食欲不振）或\u200c眼部症状\u200c（如结膜充血、眼痒、分泌物增多）。\u200c\u200c\u200c', '\u200c呼吸变得困难\u200c：如果感觉\u200c空气不够用\u200c、呼吸频率加快，甚至在安静状态下也气短，或活动后气促明显加剧，需立即就医。', '\u200c持续高热不退\u200c：体温持续超过 38.5℃且服用退热药后难以下降，或发热时间超过 3 天无好转。', '\u200c基础病明显波动\u200c：原有慢性病患者若出现\u200c胸痛\u200c、\u200c心悸\u200c、意识模糊或原有疾病急性加重，警惕发展为重症。', '\u200c血氧指标异常\u200c：若家中备有指夹式血氧仪，静息状态下血氧饱和度低于 93% 是危险信号。\u200c\u200c\u200c', '\u200c儿童表现可能不典型\u200c：孩子感染后症状通常较轻，部分以\u200c胃肠道症状\u200c（呕吐、腹泻）为主，少数可能出现皮疹或类似川崎病的炎症反应。', '\u200c老年人风险更高\u200c：老年人或有基础疾病者，感染后更容易发展为重症，出现\u200c呼吸困难\u200c、\u200c低氧血症\u200c或\u200c多器官功能受损\u200c，需密切监测。', '\u200c康复后可能有后遗症\u200c：部分患者急性期过后，仍可能长期感到\u200c极度疲劳\u200c、\u200c注意力不集中\u200c（脑雾）、慢性咳嗽或关节痛，被称为“长新冠”。\u200c\u200c\u200c']",[],"[{'title': '别把三阳只当感冒!病毒变聪明后正在悄悄透支你的身体,家中没备好这几样东西才是真正的致命误区', 'link': 'https://baijiahao.baidu.com/s?id=1865267201218047180&wfr=spider&for=pc', 'source': '吴海涛医生'}, {'title': '新型肺炎感染之后有什么症状', 'link': 'https://www.bohe.cn/article/view/quxss726ek0thjb.html', 'source': '博禾医生'}, {'title': '新冠肺炎症状及表现有什么', 'link': 'https://m.bohe.cn/article/mip/jo84s9quhkqcw45.html', 'source': '博禾医生'}, {'title': '新型肺炎病毒感染的症状有哪些', 'link': 'https://www.bohe.cn/article/view/ga90zwliyk4q855.html', 'source': '博禾医生'}, {'title': '感染新冠肺炎的症状', 'link': 'https://www.bohe.cn/article/view/6x2ntaqh0kxcmaz.html', 'source': '博禾医生'}, {'title': '新冠心肺炎是什么症状', 'link': 'https://www.bohe.cn/article/view/5at2txtr7kd3e5n.html', 'source': '博禾医生'}, {'title': '新冠肺炎的症状有哪些?', 'link': 'https://m.mfk.com/ask/11312865.shtml', 'source': '甘建和'}, {'title': '感染新冠肺炎病毒是什么症状', 'link': 'https://www.bohe.cn/article/view/1qepshs19ktfm28.html', 'source': '博禾医生'}, {'title': '新冠肺炎有哪些症状', 'link': 'https://m.youlai.cn/pjingbian/article/F469B2gBFzB.html', 'source': '徐洁'}, {'title': '感染新型冠状病毒性肺炎的症状', 'link': 'https://www.bohe.cn/article/view/4zsmms4eaktbw93.html', 'source': '博禾医生'}, {'title': '新冠肺炎症状有哪些 ', 'link': 'https://www.bohe.cn/ask/view/zfx7hyqo2vkbtl1.html', 'source': '迟翔宇'}]","['间质性肺炎一般能活几年', '最新病毒感染什么症状', '肺炎恢复期一般是多久', '新冠肺炎一般几天能好', '2026年新冠症状', '间质性肺炎的四个阶段', '间质性肺炎40多年了', '新冠一般几天自愈', '胸膜炎的症状与表现', '新冠1-7天症状对照表']"
symptoms of long covid,长新冠症状,True,"['\u200c时间范围\u200c 症状在新冠急性感染期后持续 \u200c4周以上\u200c，部分患者可能延续数月甚至更久。', '\u200c人群分布\u200c 无论感染时的严重程度如何均可能发生，包括轻症或无症状感染者。', '\u200c症状多样性\u200c 可能累及呼吸、神经、心血管等多个系统，症状可能波动或反复出现。', '\u200c身体症状\u200c', '\u200c神经与认知症状\u200c', '\u200c心理健康影响\u200c', '\u200c个体差异明显\u200c 部分患者在3-6个月内逐渐恢复，少数人症状持续1年以上。 \u200c风险因素\u200c：女性、高龄、既往有哮喘或免疫疾病史者可能恢复较慢。', '\u200c症状波动性\u200c 过度劳累、压力或再次感染可能导致症状反复。', '\u200c医疗支持\u200c', '\u200c生活方式调整\u200c', '\u200c康复训练\u200c', '\u200c心理支持\u200c']",[],[],"['清除体内病毒的好办法', '新冠2026年症状', '2026新冠病毒最新症状是什么', '怎样才消除长新冠', '局限期是早期还是晚期', '新冠1-7天症状对照表', '2026新冠的最新症状和表现', '长新冠症状和新冠的区别', '长新冠症状有哪些', '近期新冠的症状']"
long covid treatment,新冠后遗症治疗,True,"['\u200c多学科协作评估\u200c 建议在呼吸科、康复科、心理科等科室联合评估下，明确症状原因（如器官损伤、炎症反应或神经功能紊乱），制定个体化方案。', '\u200c循序渐进恢复活动\u200c 避免过度劳累，通过\u200c低强度运动（如散步、瑜伽）\u200c逐步提升体能，若活动后症状加重需及时调整强度。', '\u200c营养与睡眠支持\u200c 保证优质蛋白、维生素摄入，必要时补充维生素D、B族等；调整作息，避免熬夜，必要时通过认知行为疗法改善睡眠障碍。', '\u200c疲劳与虚弱\u200c', '\u200c呼吸系统问题\u200c', '\u200c神经认知障碍\u200c', '\u200c心理健康问题\u200c', '\u200c避免自行用药\u200c 切勿滥用抗生素、激素或“增强免疫力”偏方，可能加重肝肾负担或诱发其他疾病。', '\u200c警惕严重并发症\u200c 若出现持续胸痛、下肢水肿、意识模糊等症状，需立即就医排查心肌炎、肺栓塞等急症。', '\u200c定期随访监测\u200c 建议每3-6个月复查血常规、心肺功能等指标，动态评估恢复情况。']",[],[],"['新冠后遗症', '新冠后2年了还是心跳快', '新冠后遗症怎么恢复快', '新冠痊愈后对人的后遗症', '新冠7个常见后遗症的处理方法', '新冠后遗症门诊', '新冠后遗症如何治疗', '现在新冠治疗后有后遗症', '新冠病毒后遗症怎么治疗', '新冠后遗症患者治疗方法']"
covid 19,新冠肺炎,False,,,,"['2026年新冠肺炎最新消息', '2019—2023年疫情时间线', '新冠肺炎死了多少人', '武汉疫情源头来自哪里', '2026年还有新冠疫情吗', '武汉疫情很多都绝户了吗', '2026新冠又开始了吗现在', '第一个得新冠的人是谁', '新冠疫情百度百科', '疫情三年一共死亡多少']"
acupuncture near me,附近针灸,False,,,,"['附近的针灸中医骨科诊所', '附近有针灸推拿诊所', '附近500米针灸中医馆', '附近的针灸馆在哪里', '附近哪里有针灸的地方?', '离我最近的针灸馆', '附近医院诊所', '附近中医院离我位置最近的', '附近100米内针灸大夫', '附近有没有针灸的地方']"
what is acupuncture,针灸是什么,False,,,,"['针灸有几种针法', '针灸的疗法', '针灸图片', '中医针灸课程', '鬼门13针哪家医院最可靠', '针灸是什么原理治病', '针灸有副作用吗', '针灸的好处和坏处', '面瘫一般要针灸几天', '针灸的功效与作用']"
acupuncture points,针灸穴位,True,"['\u200c定义与分类\u200c 穴位是人体经络系统中气血输注的特殊点位，分为\u200c经穴\u200c（十二正经与任督二脉上的穴位）、\u200c奇穴\u200c（未纳入经络但有固定疗效的穴位）和\u200c阿是穴\u200c（按压痛或病变部位临时选用的穴位）。', '\u200c作用原理\u200c 中医认为，穴位通过经络与脏腑相连，刺激穴位可调整气血运行，恢复阴阳平衡。现代研究认为，穴位可能与神经末梢、血管或淋巴管密集区相关，刺激可引发神经反射或释放内源性物质（如内啡肽）。', '\u200c合谷穴（LI4）\u200c', '\u200c足三里（ST36）\u200c', '\u200c内关穴（PC6）\u200c', '\u200c选穴原则\u200c', '\u200c针刺手法\u200c', '\u200c禁忌人群\u200c', '\u200c操作规范\u200c', '\u200c个体差异\u200c']",[],[],"['面部24个美容部位', '针灸常用40个部位图', '针灸大师app', '针灸的起源与发展历史', '中医针灸', '针灸人体经络大图', '针灸穴位图', '针灸45个必背口诀', '鬼门13针哪家医院最可靠', '中济经络穴位app']"
acupuncture for pain,针灸治疗疼痛,True,"['\u200c神经调节\u200c：针灸刺激可触发神经信号传递，抑制脊髓和大脑中的疼痛信号传导，降低痛觉敏感度。例如，电针能通过调节γ-氨基丁酸等神经递质，阻断痛觉传递通路。', '\u200c促进内源性物质分泌\u200c：针刺后人体释放\u200c内啡肽、5-羟色胺\u200c等天然止痛物质，效果类似药物镇痛但无依赖风险。', '\u200c改善微循环\u200c：通过扩张血管、加速血流，针灸能缓解肌肉痉挛性疼痛，对颈椎病、肩周炎等局部缺血引发的疼痛效果显著。', '\u200c骨骼肌肉疼痛\u200c：包括腰椎间盘突出、关节炎、扭伤等，针灸可减少炎症因子（如IL-6、TNF-α），改善关节活动度。', '\u200c神经性疼痛\u200c：三叉神经痛、带状疱疹后遗神经痛等，通过调节受损神经的异常放电实现缓解。', '\u200c内脏痛\u200c：如痛经、胃肠痉挛，针灸可通过调节自主神经平衡内脏功能。', '\u200c术后或癌性疼痛\u200c：作为辅助治疗手段，能减少止痛药用量，提升患者生活质量。', '\u200c评估与选穴\u200c：医师需根据疼痛部位、性质（如刺痛、胀痛）选择主穴与配穴。例如偏头痛常取\u200c风池、太阳、合谷\u200c，腰痛多选\u200c肾俞、委中\u200c。', '\u200c操作规范\u200c：进针深度、角度需精准，配合提插捻转等手法，留针时间通常为20-30分钟。急性疼痛初期建议每日治疗，慢性疼痛每周2-3次。', '\u200c疗程周期\u200c：一般5-10次为1疗程，顽固性疼痛可能需要多个疗程，治疗间隔期可配合艾灸、拔罐巩固疗效。', '\u200c出血性疾病患者\u200c（如血友病）或服用抗凝药物者慎用。', '\u200c局部感染、皮肤破损\u200c区域禁止针刺，糖尿病患者需特别注意预防感染。', '\u200c晕针处理\u200c：首次治疗建议取卧位，出现心慌、冷汗时立即起针，饮用温糖水。']",[],[],"['手腕疼扎针灸扎什么部位', '针灸治疗全身疼痛', '颈椎针灸哪些部位', '特效止痛针灸', '针灸造成了疼痛的原因', '针灸缓解疼痛', '疼痛针灸有用吗', '针灸疼痛感强烈', '针灸部位疼痛', '针灸可以治疗疼痛吗']"
massage,按摩,False,,,,"['按摩精油', '女人去spa是泄欲还是补气', '女性乳房被按摩师摸了会得白血病吗', '四个已婚妇女去按摩会得白血病吗', '沐浴按摩spa', '夫妻俩一起养生按摩推拿', '全身spa按摩精油', '丈夫带妻子去按摩治疗不孕', '女性私处按摩一般要几天', '妻子按摩治疗不孕']"
chinese acupuncture,中医针灸,True,"['\u200c经络学说\u200c：中医认为人体存在\u200c十二正经、奇经八脉\u200c等经络系统，穴位是气血运行的枢纽。针灸通过刺激穴位，调节经络气血，恢复脏腑功能。', '\u200c现代科学解释\u200c：', '\u200c疼痛管理\u200c：如\u200c颈椎病、腰椎间盘突出、关节炎\u200c等，通过抑制痛觉传导和炎症反应起效。', '\u200c消化系统疾病\u200c：如功能性消化不良、肠易激综合征，针灸可调节胃肠蠕动与消化液分泌。', '\u200c神经系统疾病\u200c：包括面瘫、中风后遗症等，通过刺激神经修复与功能重组改善症状。', '\u200c慢性病调理\u200c：如高血压、糖尿病辅助治疗，结合生活方式调整可增强疗效。', '\u200c常用针具\u200c：毫针（细如发丝）、三棱针（放血用）、皮肤针（浅刺）等，需严格消毒。', '\u200c补泻手法\u200c：根据病情虚实，采用提插捻转等手法，如\u200c提插补法\u200c（轻刺激）或\u200c捻转泻法\u200c（强刺激）。', '\u200c艾灸疗法\u200c：通过燃烧艾绒温热穴位，适用于寒证、虚证，如痛经、慢性腹泻。', '禁忌证：出血性疾病、皮肤感染、严重心脑血管疾病患者慎用；孕妇腰骶部、腹部穴位禁针。', '晕针处理：若出现头晕、恶心，需立即停止操作，平卧并补充糖分。', '专业操作：需由持证医师进行，避免自行施针导致感染或损伤神经。', '\u200c起效时间\u200c：急性疼痛（如落枕）可能1-2次见效，慢性病需10-15次疗程。', '\u200c个体化方案\u200c：中医强调辨证论治，例如同是头痛，肝阳上亢与气血不足的选穴不同。', '\u200c联合治疗\u200c：常与中药、推拿结合，如针灸疏通经络后配合中药巩固疗效。']",[],[],"['中医针灸怎么学', '黑龙江中亚治癫怎么样', '中医针灸证书报考条件', '附近针灸中医馆', '中医针灸课程', '中医针灸理疗师证书国家承认吗', '中医康复理疗师', '北京鬼门十三针医院', '鬼门13针哪家医院最可靠', '针灸大师app']"
community acupuncture,社区针灸,False,,,,"['离我近的中医针灸馆', '附近针灸', '社区医院针灸靠谱吗', '针灸交流群', '社区中医健康驿站', '社区医院针灸一次多少钱', '雷锋街道社区卫生院有针灸', '私人针灸馆', '针灸免费针灸', '特色针灸都有哪些']"
does acupuncture work,针灸有效吗,True,"['\u200c疼痛管理\u200c：针灸通过刺激穴位释放内啡肽等物质，缓解疼痛。例如，世界卫生组织（WHO）指出，针灸对\u200c偏头痛、腰痛、关节炎\u200c等慢性疼痛有效，部分研究显示其效果与药物相当。', '\u200c神经系统调节\u200c：针灸可调节神经递质水平，改善\u200c焦虑、失眠\u200c等问题。临床试验表明，针灸辅助治疗抑郁症时，可减少药物依赖并改善情绪。', '\u200c炎症与免疫调节\u200c：研究证实针灸能降低炎性因子水平，对\u200c过敏性鼻炎、肠易激综合征\u200c等免疫相关疾病有帮助。', '\u200c疼痛类疾病\u200c：如颈椎病、肩周炎、术后疼痛等，针灸常作为替代或辅助疗法。', '\u200c神经功能恢复\u200c：中风后遗症患者通过针灸可改善肢体活动能力。', '\u200c消化系统问题\u200c：功能性消化不良、便秘等可通过针灸调节胃肠动力。', '\u200c妇科疾病\u200c：痛经、更年期综合征等病症的缓解效果显著。', '\u200c神经-体液调节\u200c：针刺刺激通过神经传导影响大脑和内分泌系统，调整激素分泌。', '\u200c局部微循环改善\u200c：针刺促进局部血液流通，加速组织修复。', '\u200c穴位特异性\u200c：不同穴位对应不同器官功能，如“足三里”调节消化，“合谷”缓解头痛。', '\u200c专业操作至关重要\u200c：需由持证医师施针，避免感染或误伤神经。', '\u200c个体差异\u200c：部分人可能出现短暂晕针、局部淤青，但严重副作用罕见。', '\u200c禁忌人群\u200c：凝血功能障碍、皮肤感染者、孕妇（特定穴位）需谨慎。', '\u200c疗效稳定性\u200c：部分研究认为针灸效果受患者心理预期影响（安慰剂效应）。', '\u200c疾病类型限制\u200c：对器质性病变（如肿瘤、骨折）仅能辅助缓解症状，无法替代手术或药物。', '\u200c标准化不足\u200c：穴位选择、针刺手法缺乏全球统一标准，可能影响疗效评价。']",[],[],"['自己针灸可以吗', '针灸能治病吗', '针灸效果好吗', '针灸一般几次才有效', '针灸是缓解还是根治', '针灸真的有用吗', '针灸后能艾灸吗', '针灸', '针灸几天有效果', '针灸作用神奇吗']"
fertility acupuncture,助孕针灸,True,"['\u200c增加子宫内膜血流\u200c：针灸可扩张子宫动脉血管，改善子宫内膜血流灌注，提高内膜厚度和容受性，增加胚胎着床成功率。', '\u200c缓解子宫痉挛\u200c：通过调节平滑肌张力，减少子宫收缩异常，降低早期流产风险。', '\u200c减少炎症反应\u200c：针灸可能抑制生殖系统慢性炎症，改善输卵管通畅度，减少着床障碍。', '\u200c调节自主神经\u200c：刺激耳穴、百会等可降低交感神经兴奋性，缓解焦虑、失眠。', '\u200c促进内啡肽释放\u200c：针灸可触发内源性镇痛物质分泌，改善情绪并增强抗压能力，间接提升生育力。', '\u200c宫寒型\u200c：艾灸关元、气海等穴位，温通胞宫，改善手脚冰凉、痛经。', '\u200c气血不足型\u200c：针刺足三里、血海等，增强脾胃功能，提升气血运行。', '\u200c痰湿瘀阻型\u200c：配合丰隆、阴陵泉等穴位，促进代谢，改善肥胖或痰湿体质。', '\u200c提高卵子质量\u200c：促排阶段配合针灸，可能减少药物用量并提升卵泡成熟度。', '\u200c降低并发症\u200c：减少卵巢过度刺激综合征（OHSS）风险，缓解腹胀等不适。', '\u200c移植后调理\u200c：改善子宫血流，缓解紧张情绪，可能提升胚胎着床率。', '针灸助孕需由专业医师操作，根据月经周期调整穴位和频率，通常建议每周2-3次，持续3个月以上。', '需结合生活方式调整（如规律作息、均衡饮食）和西医检查（如激素六项、B超监测），综合评估疗效。', '严重器质性问题（如输卵管阻塞、男方少精症）需优先解决原发病，针灸仅作为辅助手段。']",[],[],"['助孕', '针灸注射疗法', '助孕十三针位置图', '针灸助孕图', '针灸助孕一个月扎几次', '不孕十三针的神奇功效', '针灸可以助怀孕吗', '助孕针灸哪个部位图解', '促孕十三针图片大全', '女士备孕针灸扎哪里']"
acupuncture needles,针灸针,False,,,,"['面部线雕一到7天图片', '中医针灸课程', '鬼门13针哪家医院最可靠', '买针灸针', '针灸针规格尺寸表', '一天针灸的最佳时间', '针灸理疗仪', '针灸图片', '针灸针多少钱一盒', '针灸针价格']"
